Project,Precision,Recall,Auc_Score,Accuracy,Fmeasure,GMean
camel-1.6.csv,0.7,0.5268817204301075,0.7844096051998075,0.8199445983379502,0.6012269938650306,0.6073032226993985
e-learning.csv,0.8979591836734694,0.8979591836734694,0.9458740017746228,0.9290780141843972,0.8979591836734694,0.8979591836734694
intercafe.csv,0.8333333333333334,0.5555555555555556,0.9285714285714286,0.782608695652174,0.6666666666666667,0.6804138174397717
ivy-2.0.csv,0.8947368421052632,0.8192771084337349,0.939023700435545,0.9222972972972973,0.8553459119496855,0.8561760407819944
jedit-4.3.csv,0.9266666666666666,0.952054794520548,0.9714096332302253,0.9605263157894737,0.939189189189189,0.9392749559752854
kalkulator.csv,0.6666666666666666,0.8,0.8857142857142857,0.75,0.7272727272727272,0.7302967433402214
log4j-1.2.csv,0.9743589743589743,0.957983193277311,0.9895205140879881,0.9607843137254902,0.9661016949152542,0.9661363887437507
lucene-2.4.csv,0.6990291262135923,0.6792452830188679,0.7355380468588016,0.6700507614213198,0.6889952153110048,0.6890662063063197
poi-2.5.csv,0.8932584269662921,0.9034090909090909,0.9221715784215785,0.8651685393258427,0.8983050847457628,0.8983194217273178
prop-6.csv,0.8035714285714286,0.7894736842105263,0.9165100250626566,0.8885298869143781,0.7964601769911505,0.7964913660803873
redaktor.csv,0.9024390243902439,0.7254901960784313,0.9313725490196079,0.8676470588235294,0.8043478260869564,0.8091419311552864
serapion.csv,0.5714285714285714,0.5714285714285714,0.8257142857142856,0.8125,0.5714285714285714,0.5714285714285714
sklebagd.csv,0.8571428571428571,0.8571428571428571,0.8095238095238095,0.8,0.8571428571428571,0.8571428571428571
synapse-1.2.csv,0.7857142857142857,0.4782608695652174,0.7911418122714344,0.8846153846153846,0.5945945945945946,0.6130060338328881
systemdata.csv,0.6,0.42857142857142855,0.8354978354978355,0.85,0.5,0.50709255283711
szybkafucha.csv,0.75,0.9,0.8375,0.7777777777777778,0.8181818181818182,0.8215838362577492
termoproject.csv,0.5714285714285714,0.5,0.846590909090909,0.7666666666666667,0.5333333333333333,0.5345224838248488
tomcat.csv,0.8795180722891566,0.6822429906542056,0.9347934650781194,0.93026941362916,0.7684210526315789,0.7746257418734391
velocity-1.6.csv,0.696969696969697,0.5348837209302325,0.8524782710829223,0.7887323943661971,0.6052631578947368,0.6105716541821837
workflow.csv,0.7,0.7777777777777778,0.7008547008547008,0.7727272727272727,0.7368421052631577,0.7378647873726218
wspomaganiepi.csv,1.0,0.8888888888888888,0.9444444444444444,0.9230769230769231,0.9411764705882353,0.9428090415820634
xalan-2.7.csv,0.9658703071672355,0.9860627177700348,0.9982110354152581,0.977491961414791,0.9758620689655172,0.9759142893198678
xerces-1.4.csv,0.9202898550724637,0.9202898550724637,0.916776460254721,0.9071729957805907,0.9202898550724637,0.9202898550724637
zuzel.csv,0.875,0.7777777777777778,0.9166666666666667,0.8235294117647058,0.823529411764706,0.8249579113843054
